"product_model","notion_url","legacy_product_family","canonical_product_family","canonical_solution_themes","signed_scope_treatment","migration_result"
"AC HV Tester","https://app.notion.com/p/20d3dd29567d83678f15019cb9439ecb","Fault & Safety Testing","Cable Testing & Validation","Electrical/HV Validation","Covered Primary / Variant","migrated"
"Acute Spark Tester","https://app.notion.com/p/2293dd29567d82c5bd8a012bc98fcd6c","Fault & Safety Testing","Inline Spark Testing & Insulation Fault Detection","Spark Testing & Fault Intelligence","Covered Primary / Variant","migrated"
"AX-250 Pneumatic Brake","https://app.notion.com/p/5ea3dd29567d82c682e181b413ac2561","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control;Braking & Unwind/Rewind Control","Covered Primary / Variant","migrated"
"AX-400 Pneumatic Brake","https://app.notion.com/p/a253dd29567d832498b2012d4d5a0c2c","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control;Braking & Unwind/Rewind Control","Covered Primary / Variant","migrated"
"AX-500 Pneumatic Brake","https://app.notion.com/p/5383dd29567d83d1853f81fc6004a295","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control;Braking & Unwind/Rewind Control","Covered Primary / Variant","migrated"
"Butt Welding Machine","https://app.notion.com/p/2373dd29567d82039c04018467d4cc3d","Process Enhancement","Process Equipment & Line Auxiliaries","Conductor Joining & Repair","Covered Primary / Variant","migrated"
"DC HV Tester","https://app.notion.com/p/b343dd29567d83a3b6d501aafe6c09c1","Fault & Safety Testing","Cable Testing & Validation","Electrical/HV Validation","Covered Primary / Variant","migrated"
"DC Spark Tester","https://app.notion.com/p/3b73dd29567d831183a6814aa6ca715c","Fault & Safety Testing","Inline Spark Testing & Insulation Fault Detection","Spark Testing & Fault Intelligence","Covered Primary / Variant","migrated"
"Fire Resistance Cable Testing System","https://app.notion.com/p/8cd3dd29567d83e19b9d81eac8c5fe9e","Fault & Safety Testing","Cable Testing & Validation","Fire Resistance & Circuit Integrity;Data & Reporting","Covered Primary / Variant","migrated"
"Inline Induction Wire Preheater - 1000 m/min","https://app.notion.com/p/5b63dd29567d8359a35281261d823025","Process Enhancement","Process Equipment & Line Auxiliaries","Wire Preheating & Adhesion","Covered Primary / Variant","migrated"
"Inline Induction Wire Preheater - 1500 m/min","https://app.notion.com/p/5443dd29567d820c9efa0108105779c7","Process Enhancement","Process Equipment & Line Auxiliaries","Wire Preheating & Adhesion","Covered Primary / Variant","migrated"
"Inline Induction Wire Preheater - 2000 m/min","https://app.notion.com/p/cce3dd29567d83a48d560111914067d1","Process Enhancement","Process Equipment & Line Auxiliaries","Wire Preheating & Adhesion","Covered Primary / Variant","migrated"
"Laser / Measurement Accessories Group","https://app.notion.com/p/1e23dd29567d8249b01581a10a56f448","Online Measurement","Inline Measurement & Dimensional Control","Dimensional Measurement & Control;Data & Reporting","Covered Support Item","migrated"
"LASER 2008B","https://app.notion.com/p/e5d3dd29567d82b2984c0119bbf278dd","Online Measurement","Inline Measurement & Dimensional Control","Dimensional Measurement & Control;Data & Reporting","Covered Primary / Variant","migrated"
"Laser Diameter Gauge / LASER 2008","https://app.notion.com/p/1a53dd29567d83ffa57101fca4bf9646","Online Measurement","Inline Measurement & Dimensional Control","Dimensional Measurement & Control;Data & Reporting","Covered Primary / Variant","migrated"
"LASER-2010H","https://app.notion.com/p/6573dd29567d837f81850191d56ae896","Online Measurement","Inline Measurement & Dimensional Control","Dimensional Measurement & Control;Data & Reporting","Covered Primary / Variant","migrated"
"LASER-2012","https://app.notion.com/p/b293dd29567d833397d981cc64d3a395","Online Measurement","Inline Measurement & Dimensional Control","Dimensional Measurement & Control;Data & Reporting","Covered Primary / Variant","migrated"
"LASER-2020H","https://app.notion.com/p/37d3dd29567d82bd850f01ebfc503908","Online Measurement","Inline Measurement & Dimensional Control","Dimensional Measurement & Control;Data & Reporting","Covered Primary / Variant","migrated"
"LASER-2030","https://app.notion.com/p/c253dd29567d832aa50781ce6ee1ff4b","Online Measurement","Inline Measurement & Dimensional Control","Dimensional Measurement & Control;Data & Reporting","Covered Primary / Variant","migrated"
"LASER-2030H","https://app.notion.com/p/d553dd29567d83b1b3ef013e69fe1b84","Online Measurement","Inline Measurement & Dimensional Control","Dimensional Measurement & Control;Data & Reporting","Covered Primary / Variant","migrated"
"LASER-2060","https://app.notion.com/p/e973dd29567d838c9610013415149288","Online Measurement","Inline Measurement & Dimensional Control","Dimensional Measurement & Control;Data & Reporting","Covered Primary / Variant","migrated"
"Live Spark Tester","https://app.notion.com/p/8953dd29567d8316a8ec817e072aa5fe","Fault & Safety Testing","Inline Spark Testing & Insulation Fault Detection","Spark Testing & Fault Intelligence","Covered Primary / Variant","migrated"
"Loadcell Accessories / Integration Items","https://app.notion.com/p/bdf3dd29567d822d88c0012089b7ad92","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control;Data & Reporting","Covered Support Item","migrated"
"Loadcell AR-118 Series","https://app.notion.com/p/34d3dd29567d836f9978817560f96c4c","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control","Covered Primary / Variant","migrated"
"Loadcell AR-125 Series","https://app.notion.com/p/7643dd29567d838c844c0107be6a1f51","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control","Covered Primary / Variant","migrated"
"Loadcell AR-85 Series","https://app.notion.com/p/3373dd29567d82e4ae98814f535f98b3","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control","Covered Primary / Variant","migrated"
"Loadcell AR-ST Series","https://app.notion.com/p/bb53dd29567d82c78a6401d3631b079e","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control","Covered Primary / Variant","migrated"
"Loadcell LC-AR-60 Series","https://app.notion.com/p/0343dd29567d8256ae5501e32a37ed46","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control","Covered Primary / Variant","migrated"
"Loadcell LC-AR-HD Series","https://app.notion.com/p/adc3dd29567d83cc9da5815272514f71","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control","Covered Primary / Variant","migrated"
"LSP-G1 Static Powder Applicator","https://app.notion.com/p/ba03dd29567d83b78cc7017788c87bba","Process Enhancement","Process Equipment & Line Auxiliaries","Static Powder Application","Covered Primary / Variant","migrated"
"LSP-G2 Static Powder Applicator","https://app.notion.com/p/db23dd29567d830cb0148145e7185f7f","Process Enhancement","Process Equipment & Line Auxiliaries","Static Powder Application","Covered Primary / Variant","migrated"
"LTC-PRO Web Tension Controller","https://app.notion.com/p/ee13dd29567d828da56d816167a23fb2","Tension / Braking / Automation","Tension / Braking / Line Control","Tension Measurement & Control;Braking & Unwind/Rewind Control;Data & Reporting","Covered Primary / Variant","migrated"
"Spark Tester IoT Stage 1 Fault Interface","https://app.notion.com/p/cea3dd29567d83fdb07301a285e2c07c","Fault & Safety Testing","Inline Spark Testing & Insulation Fault Detection","Spark Testing & Fault Intelligence;Data & Reporting","Covered Support Item","migrated"
"Spark Tester IoT Stage 2 Data Logging & Graphics","https://app.notion.com/p/7a33dd29567d83419cc481ff47492b4a","Fault & Safety Testing","Inline Spark Testing & Insulation Fault Detection","Spark Testing & Fault Intelligence;Data & Reporting","Covered Support Item","migrated"
"Spark Tester IoT Stage 3 Inline Marking System","https://app.notion.com/p/ae73dd29567d82aeb3918168ba5ccbb9","Fault & Safety Testing","Inline Spark Testing & Insulation Fault Detection","Spark Testing & Fault Intelligence;Data & Reporting","Covered Support Item","migrated"
"Spark Tester Sensitivity Calibrator","https://app.notion.com/p/5ca3dd29567d8210a79701b514cfc93b","Fault & Safety Testing","Inline Spark Testing & Insulation Fault Detection","Spark Testing & Fault Intelligence;Calibration & Support","Covered Support Item","migrated"
